,Year,Month,halocline
0,1961.0,1.0,37.0
1,1962.0,1.0,37.0
2,1963.0,1.0,71.0
3,1964.0,1.0,61.0
4,1965.0,1.0,81.0
5,1969.0,1.0,71.0
6,1970.0,1.0,71.0
7,1971.0,1.0,71.0
8,1973.0,1.0,81.0
9,1976.0,1.0,76.0
10,1978.0,1.0,71.0
11,1979.0,1.0,81.0
12,1980.0,1.0,71.0
13,1983.0,1.0,71.0
14,1984.0,1.0,93.0
15,1985.0,1.0,61.0
16,1986.0,1.0,81.0
17,1987.0,1.0,71.0
18,1988.0,1.0,81.0
19,1989.0,1.0,96.0
20,1990.0,1.0,98.0
21,1991.0,1.0,71.0
22,1992.0,1.0,98.0
23,1993.0,1.0,148.0
24,1994.0,1.0,81.0
25,1995.0,1.0,88.0
26,1996.0,1.0,93.0
27,1997.0,1.0,71.0
28,1998.0,1.0,71.0
29,1999.0,1.0,71.0
30,2000.0,1.0,81.0
31,2001.0,1.0,61.0
32,2002.0,1.0,98.0
33,2003.0,1.0,71.0
34,2004.0,1.0,71.0
35,2006.0,1.0,77.0
36,1958.0,1.0,
37,1960.0,1.0,
38,1967.0,1.0,
39,1968.0,1.0,
40,1974.0,1.0,
41,1975.0,1.0,
42,1977.0,1.0,
43,1981.0,1.0,
44,1982.0,1.0,
45,2005.0,1.0,
46,2007.0,1.0,
47,2008.0,1.0,
48,2009.0,1.0,
49,2010.0,1.0,
50,2011.0,1.0,
51,2012.0,1.0,
52,2013.0,1.0,
53,2014.0,1.0,
54,2015.0,1.0,
55,2016.0,1.0,
56,2017.0,1.0,
57,2018.0,1.0,
58,2019.0,1.0,
59,1972.0,1.0,
60,1966.0,1.0,
61,1961.0,2.0,
62,1962.0,2.0,
63,1963.0,2.0,151.0
64,1964.0,2.0,27.0
65,1965.0,2.0,
66,1969.0,2.0,
67,1970.0,2.0,
68,1971.0,2.0,61.0
69,1973.0,2.0,
70,1976.0,2.0,
71,1978.0,2.0,75.0
72,1979.0,2.0,
73,1980.0,2.0,
74,1983.0,2.0,76.0
75,1984.0,2.0,76.0
76,1985.0,2.0,79.0
77,1986.0,2.0,77.0
78,1987.0,2.0,80.0
79,1988.0,2.0,76.0
80,1989.0,2.0,
81,1990.0,2.0,85.0
82,1991.0,2.0,89.0
83,1992.0,2.0,96.0
84,1993.0,2.0,102.0
85,1994.0,2.0,92.0
86,1995.0,2.0,89.0
87,1996.0,2.0,83.0
88,1997.0,2.0,84.0
89,1998.0,2.0,71.0
90,1999.0,2.0,76.0
91,2000.0,2.0,84.0
92,2001.0,2.0,76.0
93,2002.0,2.0,81.0
94,2003.0,2.0,80.0
95,2004.0,2.0,73.0
96,2006.0,2.0,76.0
97,1958.0,2.0,27.0
98,1960.0,2.0,37.0
99,1967.0,2.0,71.0
100,1968.0,2.0,61.0
101,1974.0,2.0,71.0
102,1975.0,2.0,85.0
103,1977.0,2.0,71.0
104,1981.0,2.0,81.0
105,1982.0,2.0,65.0
106,2005.0,2.0,79.0
107,2007.0,2.0,78.0
108,2008.0,2.0,80.0
109,2009.0,2.0,83.0
110,2010.0,2.0,73.0
111,2011.0,2.0,64.0
112,2012.0,2.0,80.0
113,2013.0,2.0,61.0
114,2014.0,2.0,87.0
115,2015.0,2.0,77.0
116,2016.0,2.0,81.0
117,2017.0,2.0,84.0
118,2018.0,2.0,81.0
119,2019.0,2.0,76.0
120,1972.0,2.0,
121,1966.0,2.0,
122,1961.0,3.0,
123,1962.0,3.0,
124,1963.0,3.0,
125,1964.0,3.0,
126,1965.0,3.0,
127,1969.0,3.0,71.0
128,1970.0,3.0,84.0
129,1971.0,3.0,61.0
130,1973.0,3.0,70.0
131,1976.0,3.0,81.0
132,1978.0,3.0,80.0
133,1979.0,3.0,
134,1980.0,3.0,79.0
135,1983.0,3.0,148.0
136,1984.0,3.0,76.0
137,1985.0,3.0,63.0
138,1986.0,3.0,76.0
139,1987.0,3.0,
140,1988.0,3.0,80.0
141,1989.0,3.0,76.0
142,1990.0,3.0,84.0
143,1991.0,3.0,
144,1992.0,3.0,102.0
145,1993.0,3.0,97.0
146,1994.0,3.0,83.0
147,1995.0,3.0,87.0
148,1996.0,3.0,80.0
149,1997.0,3.0,91.0
150,1998.0,3.0,80.0
151,1999.0,3.0,70.0
152,2000.0,3.0,81.0
153,2001.0,3.0,73.0
154,2002.0,3.0,71.0
155,2003.0,3.0,76.0
156,2004.0,3.0,77.0
157,2006.0,3.0,
158,1958.0,3.0,
159,1960.0,3.0,37.0
160,1967.0,3.0,
161,1968.0,3.0,
162,1974.0,3.0,81.0
163,1975.0,3.0,81.0
164,1977.0,3.0,71.0
165,1981.0,3.0,71.0
166,1982.0,3.0,83.0
167,2005.0,3.0,
168,2007.0,3.0,84.0
169,2008.0,3.0,80.0
170,2009.0,3.0,79.0
171,2010.0,3.0,60.0
172,2011.0,3.0,80.0
173,2012.0,3.0,78.0
174,2013.0,3.0,73.0
175,2014.0,3.0,82.0
176,2015.0,3.0,79.0
177,2016.0,3.0,79.0
178,2017.0,3.0,78.0
179,2018.0,3.0,82.0
180,2019.0,3.0,74.0
181,1972.0,3.0,81.0
182,1966.0,3.0,
183,1961.0,4.0,37.0
184,1962.0,4.0,37.0
185,1963.0,4.0,
186,1964.0,4.0,71.0
187,1965.0,4.0,71.0
188,1969.0,4.0,71.0
189,1970.0,4.0,71.0
190,1971.0,4.0,61.0
191,1973.0,4.0,
192,1976.0,4.0,84.0
193,1978.0,4.0,15.0
194,1979.0,4.0,46.0
195,1980.0,4.0,81.0
196,1983.0,4.0,92.0
197,1984.0,4.0,76.0
198,1985.0,4.0,
199,1986.0,4.0,76.0
200,1987.0,4.0,84.0
201,1988.0,4.0,
202,1989.0,4.0,89.0
203,1990.0,4.0,148.0
204,1991.0,4.0,91.0
205,1992.0,4.0,138.0
206,1993.0,4.0,90.0
207,1994.0,4.0,98.0
208,1995.0,4.0,81.0
209,1996.0,4.0,81.0
210,1997.0,4.0,98.0
211,1998.0,4.0,71.0
212,1999.0,4.0,71.0
213,2000.0,4.0,81.0
214,2001.0,4.0,71.0
215,2002.0,4.0,75.0
216,2003.0,4.0,81.0
217,2004.0,4.0,71.0
218,2006.0,4.0,
219,1958.0,4.0,
220,1960.0,4.0,
221,1967.0,4.0,
222,1968.0,4.0,
223,1974.0,4.0,79.0
224,1975.0,4.0,79.0
225,1977.0,4.0,82.0
226,1981.0,4.0,71.0
227,1982.0,4.0,
228,2005.0,4.0,80.0
229,2007.0,4.0,
230,2008.0,4.0,
231,2009.0,4.0,
232,2010.0,4.0,
233,2011.0,4.0,
234,2012.0,4.0,
235,2013.0,4.0,
236,2014.0,4.0,
237,2015.0,4.0,80.0
238,2016.0,4.0,
239,2017.0,4.0,
240,2018.0,4.0,
241,2019.0,4.0,
242,1972.0,4.0,71.0
243,1966.0,4.0,151.0
244,1961.0,5.0,
245,1962.0,5.0,
246,1963.0,5.0,151.0
247,1964.0,5.0,151.0
248,1965.0,5.0,
249,1969.0,5.0,51.0
250,1970.0,5.0,61.0
251,1971.0,5.0,71.0
252,1973.0,5.0,75.0
253,1976.0,5.0,81.0
254,1978.0,5.0,61.0
255,1979.0,5.0,
256,1980.0,5.0,75.0
257,1983.0,5.0,86.0
258,1984.0,5.0,79.0
259,1985.0,5.0,71.0
260,1986.0,5.0,75.0
261,1987.0,5.0,97.0
262,1988.0,5.0,72.0
263,1989.0,5.0,83.0
264,1990.0,5.0,84.0
265,1991.0,5.0,85.0
266,1992.0,5.0,93.0
267,1993.0,5.0,95.0
268,1994.0,5.0,85.0
269,1995.0,5.0,87.0
270,1996.0,5.0,80.0
271,1997.0,5.0,89.0
272,1998.0,5.0,70.0
273,1999.0,5.0,74.0
274,2000.0,5.0,86.0
275,2001.0,5.0,72.0
276,2002.0,5.0,76.0
277,2003.0,5.0,87.0
278,2004.0,5.0,75.0
279,2006.0,5.0,62.0
280,1958.0,5.0,
281,1960.0,5.0,
282,1967.0,5.0,
283,1968.0,5.0,
284,1974.0,5.0,
285,1975.0,5.0,82.0
286,1977.0,5.0,61.0
287,1981.0,5.0,89.0
288,1982.0,5.0,75.0
289,2005.0,5.0,78.0
290,2007.0,5.0,77.0
291,2008.0,5.0,82.0
292,2009.0,5.0,71.0
293,2010.0,5.0,68.0
294,2011.0,5.0,75.0
295,2012.0,5.0,80.0
296,2013.0,5.0,64.0
297,2014.0,5.0,75.0
298,2015.0,5.0,82.0
299,2016.0,5.0,78.0
300,2017.0,5.0,80.0
301,2018.0,5.0,72.0
302,2019.0,5.0,75.0
303,1972.0,5.0,71.0
304,1966.0,5.0,61.0
305,1961.0,6.0,
306,1962.0,6.0,
307,1963.0,6.0,
308,1964.0,6.0,
309,1965.0,6.0,81.0
310,1969.0,6.0,
311,1970.0,6.0,71.0
312,1971.0,6.0,61.0
313,1973.0,6.0,71.0
314,1976.0,6.0,98.0
315,1978.0,6.0,71.0
316,1979.0,6.0,71.0
317,1980.0,6.0,
318,1983.0,6.0,71.0
319,1984.0,6.0,
320,1985.0,6.0,70.0
321,1986.0,6.0,71.0
322,1987.0,6.0,
323,1988.0,6.0,
324,1989.0,6.0,148.0
325,1990.0,6.0,
326,1991.0,6.0,85.0
327,1992.0,6.0,
328,1993.0,6.0,91.0
329,1994.0,6.0,
330,1995.0,6.0,98.0
331,1996.0,6.0,98.0
332,1997.0,6.0,81.0
333,1998.0,6.0,71.0
334,1999.0,6.0,71.0
335,2000.0,6.0,71.0
336,2001.0,6.0,71.0
337,2002.0,6.0,71.0
338,2003.0,6.0,71.0
339,2004.0,6.0,71.0
340,2006.0,6.0,
341,1958.0,6.0,
342,1960.0,6.0,
343,1967.0,6.0,71.0
344,1968.0,6.0,71.0
345,1974.0,6.0,71.0
346,1975.0,6.0,71.0
347,1977.0,6.0,71.0
348,1981.0,6.0,81.0
349,1982.0,6.0,
350,2005.0,6.0,
351,2007.0,6.0,
352,2008.0,6.0,
353,2009.0,6.0,
354,2010.0,6.0,
355,2011.0,6.0,
356,2012.0,6.0,
357,2013.0,6.0,
358,2014.0,6.0,
359,2015.0,6.0,
360,2016.0,6.0,
361,2017.0,6.0,
362,2018.0,6.0,
363,2019.0,6.0,
364,1972.0,6.0,71.0
365,1966.0,6.0,
366,1961.0,7.0,156.0
367,1962.0,7.0,
368,1963.0,7.0,
369,1964.0,7.0,
370,1965.0,7.0,
371,1969.0,7.0,
372,1970.0,7.0,
373,1971.0,7.0,71.0
374,1973.0,7.0,
375,1976.0,7.0,
376,1978.0,7.0,
377,1979.0,7.0,91.0
378,1980.0,7.0,
379,1983.0,7.0,98.0
380,1984.0,7.0,
381,1985.0,7.0,76.0
382,1986.0,7.0,
383,1987.0,7.0,89.0
384,1988.0,7.0,
385,1989.0,7.0,148.0
386,1990.0,7.0,91.0
387,1991.0,7.0,87.0
388,1992.0,7.0,148.0
389,1993.0,7.0,98.0
390,1994.0,7.0,81.0
391,1995.0,7.0,123.0
392,1996.0,7.0,98.0
393,1997.0,7.0,71.0
394,1998.0,7.0,71.0
395,1999.0,7.0,71.0
396,2000.0,7.0,81.0
397,2001.0,7.0,79.0
398,2002.0,7.0,81.0
399,2003.0,7.0,80.0
400,2004.0,7.0,72.0
401,2006.0,7.0,71.0
402,1958.0,7.0,71.0
403,1960.0,7.0,
404,1967.0,7.0,
405,1968.0,7.0,
406,1974.0,7.0,
407,1975.0,7.0,
408,1977.0,7.0,83.0
409,1981.0,7.0,
410,1982.0,7.0,76.0
411,2005.0,7.0,74.0
412,2007.0,7.0,77.0
413,2008.0,7.0,
414,2009.0,7.0,82.0
415,2010.0,7.0,73.0
416,2011.0,7.0,
417,2012.0,7.0,79.0
418,2013.0,7.0,
419,2014.0,7.0,77.0
420,2015.0,7.0,74.0
421,2016.0,7.0,
422,2017.0,7.0,
423,2018.0,7.0,80.0
424,2019.0,7.0,
425,1972.0,7.0,71.0
426,1966.0,7.0,
427,1961.0,8.0,
428,1962.0,8.0,
429,1963.0,8.0,71.0
430,1964.0,8.0,71.0
431,1965.0,8.0,71.0
432,1969.0,8.0,61.0
433,1970.0,8.0,
434,1971.0,8.0,71.0
435,1973.0,8.0,71.0
436,1976.0,8.0,98.0
437,1978.0,8.0,81.0
438,1979.0,8.0,84.0
439,1980.0,8.0,85.0
440,1983.0,8.0,79.0
441,1984.0,8.0,82.0
442,1985.0,8.0,78.0
443,1986.0,8.0,89.0
444,1987.0,8.0,76.0
445,1988.0,8.0,86.0
446,1989.0,8.0,97.0
447,1990.0,8.0,98.0
448,1991.0,8.0,
449,1992.0,8.0,99.0
450,1993.0,8.0,95.0
451,1994.0,8.0,95.0
452,1995.0,8.0,87.0
453,1996.0,8.0,75.0
454,1997.0,8.0,69.0
455,1998.0,8.0,78.0
456,1999.0,8.0,80.0
457,2000.0,8.0,86.0
458,2001.0,8.0,78.0
459,2002.0,8.0,71.0
460,2003.0,8.0,78.0
461,2004.0,8.0,81.0
462,2006.0,8.0,
463,1958.0,8.0,
464,1960.0,8.0,
465,1967.0,8.0,
466,1968.0,8.0,
467,1974.0,8.0,56.0
468,1975.0,8.0,86.0
469,1977.0,8.0,60.0
470,1981.0,8.0,83.0
471,1982.0,8.0,75.0
472,2005.0,8.0,
473,2007.0,8.0,
474,2008.0,8.0,80.0
475,2009.0,8.0,
476,2010.0,8.0,
477,2011.0,8.0,76.0
478,2012.0,8.0,
479,2013.0,8.0,77.0
480,2014.0,8.0,
481,2015.0,8.0,74.0
482,2016.0,8.0,75.0
483,2017.0,8.0,72.0
484,2018.0,8.0,
485,2019.0,8.0,89.0
486,1972.0,8.0,75.0
487,1966.0,8.0,71.0
488,1961.0,9.0,
489,1962.0,9.0,
490,1963.0,9.0,151.0
491,1964.0,9.0,
492,1965.0,9.0,
493,1969.0,9.0,
494,1970.0,9.0,71.0
495,1971.0,9.0,
496,1973.0,9.0,71.0
497,1976.0,9.0,76.0
498,1978.0,9.0,
499,1979.0,9.0,
500,1980.0,9.0,
501,1983.0,9.0,98.0
502,1984.0,9.0,98.0
503,1985.0,9.0,98.0
504,1986.0,9.0,71.0
505,1987.0,9.0,98.0
506,1988.0,9.0,
507,1989.0,9.0,148.0
508,1990.0,9.0,
509,1991.0,9.0,91.0
510,1992.0,9.0,148.0
511,1993.0,9.0,98.0
512,1994.0,9.0,81.0
513,1995.0,9.0,98.0
514,1996.0,9.0,98.0
515,1997.0,9.0,71.0
516,1998.0,9.0,71.0
517,1999.0,9.0,76.0
518,2000.0,9.0,
519,2001.0,9.0,
520,2002.0,9.0,71.0
521,2003.0,9.0,78.0
522,2004.0,9.0,81.0
523,2006.0,9.0,
524,1958.0,9.0,
525,1960.0,9.0,
526,1967.0,9.0,
527,1968.0,9.0,71.0
528,1974.0,9.0,71.0
529,1975.0,9.0,71.0
530,1977.0,9.0,
531,1981.0,9.0,81.0
532,1982.0,9.0,148.0
533,2005.0,9.0,
534,2007.0,9.0,
535,2008.0,9.0,
536,2009.0,9.0,
537,2010.0,9.0,
538,2011.0,9.0,
539,2012.0,9.0,
540,2013.0,9.0,
541,2014.0,9.0,
542,2015.0,9.0,
543,2016.0,9.0,
544,2017.0,9.0,
545,2018.0,9.0,
546,2019.0,9.0,
547,1972.0,9.0,123.0
548,1966.0,9.0,
549,1961.0,10.0,
550,1962.0,10.0,98.0
551,1963.0,10.0,71.0
552,1964.0,10.0,
553,1965.0,10.0,
554,1969.0,10.0,71.0
555,1970.0,10.0,71.0
556,1971.0,10.0,71.0
557,1973.0,10.0,
558,1976.0,10.0,
559,1978.0,10.0,56.0
560,1979.0,10.0,81.0
561,1980.0,10.0,71.0
562,1983.0,10.0,148.0
563,1984.0,10.0,
564,1985.0,10.0,83.0
565,1986.0,10.0,
566,1987.0,10.0,148.0
567,1988.0,10.0,
568,1989.0,10.0,
569,1990.0,10.0,
570,1991.0,10.0,
571,1992.0,10.0,148.0
572,1993.0,10.0,98.0
573,1994.0,10.0,98.0
574,1995.0,10.0,98.0
575,1996.0,10.0,73.0
576,1997.0,10.0,71.0
577,1998.0,10.0,71.0
578,1999.0,10.0,71.0
579,2000.0,10.0,71.0
580,2001.0,10.0,71.0
581,2002.0,10.0,76.0
582,2003.0,10.0,76.0
583,2004.0,10.0,71.0
584,2006.0,10.0,
585,1958.0,10.0,
586,1960.0,10.0,
587,1967.0,10.0,
588,1968.0,10.0,
589,1974.0,10.0,
590,1975.0,10.0,71.0
591,1977.0,10.0,
592,1981.0,10.0,73.0
593,1982.0,10.0,150.0
594,2005.0,10.0,81.0
595,2007.0,10.0,76.0
596,2008.0,10.0,
597,2009.0,10.0,
598,2010.0,10.0,
599,2011.0,10.0,
600,2012.0,10.0,
601,2013.0,10.0,
602,2014.0,10.0,
603,2015.0,10.0,
604,2016.0,10.0,
605,2017.0,10.0,
606,2018.0,10.0,
607,2019.0,10.0,61.0
608,1972.0,10.0,71.0
609,1966.0,10.0,153.0
610,1961.0,11.0,
611,1962.0,11.0,
612,1963.0,11.0,
613,1964.0,11.0,98.0
614,1965.0,11.0,
615,1969.0,11.0,71.0
616,1970.0,11.0,61.0
617,1971.0,11.0,
618,1973.0,11.0,75.0
619,1976.0,11.0,86.0
620,1978.0,11.0,77.0
621,1979.0,11.0,75.0
622,1980.0,11.0,73.0
623,1983.0,11.0,74.0
624,1984.0,11.0,88.0
625,1985.0,11.0,80.0
626,1986.0,11.0,80.0
627,1987.0,11.0,85.0
628,1988.0,11.0,77.0
629,1989.0,11.0,94.0
630,1990.0,11.0,110.0
631,1991.0,11.0,84.0
632,1992.0,11.0,101.0
633,1993.0,11.0,95.0
634,1994.0,11.0,83.0
635,1995.0,11.0,95.0
636,1996.0,11.0,94.0
637,1997.0,11.0,79.0
638,1998.0,11.0,77.0
639,1999.0,11.0,
640,2000.0,11.0,83.0
641,2001.0,11.0,81.0
642,2002.0,11.0,71.0
643,2003.0,11.0,71.0
644,2004.0,11.0,70.0
645,2006.0,11.0,70.0
646,1958.0,11.0,
647,1960.0,11.0,
648,1967.0,11.0,
649,1968.0,11.0,71.0
650,1974.0,11.0,66.0
651,1975.0,11.0,71.0
652,1977.0,11.0,75.0
653,1981.0,11.0,61.0
654,1982.0,11.0,71.0
655,2005.0,11.0,84.0
656,2007.0,11.0,
657,2008.0,11.0,
658,2009.0,11.0,
659,2010.0,11.0,67.0
660,2011.0,11.0,85.0
661,2012.0,11.0,82.0
662,2013.0,11.0,76.0
663,2014.0,11.0,75.0
664,2015.0,11.0,78.0
665,2016.0,11.0,77.0
666,2017.0,11.0,68.0
667,2018.0,11.0,76.0
668,2019.0,11.0,
669,1972.0,11.0,98.0
670,1966.0,11.0,61.0
671,1961.0,12.0,
672,1962.0,12.0,
673,1963.0,12.0,
674,1964.0,12.0,
675,1965.0,12.0,71.0
676,1969.0,12.0,82.0
677,1970.0,12.0,
678,1971.0,12.0,81.0
679,1973.0,12.0,
680,1976.0,12.0,
681,1978.0,12.0,
682,1979.0,12.0,
683,1980.0,12.0,81.0
684,1983.0,12.0,
685,1984.0,12.0,148.0
686,1985.0,12.0,56.0
687,1986.0,12.0,76.0
688,1987.0,12.0,76.0
689,1988.0,12.0,76.0
690,1989.0,12.0,148.0
691,1990.0,12.0,
692,1991.0,12.0,
693,1992.0,12.0,148.0
694,1993.0,12.0,98.0
695,1994.0,12.0,
696,1995.0,12.0,71.0
697,1996.0,12.0,71.0
698,1997.0,12.0,71.0
699,1998.0,12.0,71.0
700,1999.0,12.0,73.0
701,2000.0,12.0,98.0
702,2001.0,12.0,71.0
703,2002.0,12.0,71.0
704,2003.0,12.0,61.0
705,2004.0,12.0,61.0
706,2006.0,12.0,
707,1958.0,12.0,
708,1960.0,12.0,
709,1967.0,12.0,61.0
710,1968.0,12.0,71.0
711,1974.0,12.0,
712,1975.0,12.0,
713,1977.0,12.0,76.0
714,1981.0,12.0,
715,1982.0,12.0,
716,2005.0,12.0,
717,2007.0,12.0,
718,2008.0,12.0,
719,2009.0,12.0,
720,2010.0,12.0,
721,2011.0,12.0,
722,2012.0,12.0,
723,2013.0,12.0,
724,2014.0,12.0,
725,2015.0,12.0,
726,2016.0,12.0,
727,2017.0,12.0,
728,2018.0,12.0,
729,2019.0,12.0,
730,1972.0,12.0,
731,1966.0,12.0,
